name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;562;0;771;3083;1048;3083;1002;0
header;171;198;171;235;1815;235;1815;198
A;979;256;979;283;1001;283;1001;256
B;981;929;981;959;1005;959;1005;929
B;948;1550;948;1585;976;1585;976;1550
C;988;1604;988;1636;1011;1636;1011;1604
B;964;1882;964;1901;978;1901;978;1882
D;1001;2282;1001;2309;1024;2309;1024;2282
A;734;2453;734;2463;739;2463;739;2453
C;918;2561;918;2590;944;2590;944;2561
B;833;2706;833;2719;846;2719;846;2706
D;999;2708;999;2721;1010;2721;1010;2708
